color,size,category,brand,initial_price,reviews_count,rating,in_stock,final_price
Black,TY4845,Decorative Garden Stakes,SHEIN,6.5,0,0,True,6.3
Gold,one-size,Women Pendant Necklaces,Unbeatablesale,12.91,0,0,True,12.91
Multicolor,one-size,Men Football Uniforms,Unbeatablesale,22.34,0,0,True,22.34
Transparent Pink,45mm,Women Sunglasses,Ray-Ban,90.23,0,0,True,90.23
Black,10pcs,Sugar & Creamer Pots,SHEIN,9.8,0,0,True,9.5
Burgundy,30ml,Serums & Facial Treatment,SHEIN,2.5,0,0,True,2.2
Sakura Refrigerator Mat,1 Roll_17.7inchX47.2inch,Kitchen Cabinet Parts & Accessories,SHEIN,4.6,0,0,True,4.6
Multicolor,9 g,Moisturizers,SHEIN,22.99,0,0,True,20.99
Multicolor,one-size,Costume Facial Hair & Wigs,SHEIN,12.69,0,0,True,12.69
Yellow,one-size,Tool Parts,SHEIN,17.5,0,0,True,17.5
Multicolor,30*100cm,Drawer Liner,SHEIN,2.3,0,0,True,1.15
Multicolor,A Shoe Pendant,Decorative Hanging Ornaments,SHEIN,3.4,0,0,True,2.72
Pink,one-size,Women Top Handle Bags,SHEIN,11.1,0,0,True,10.4
Multicolor,Random Color,Sports Bag Charms,SHEIN,2.3,0,0,True,2.1
Gold,one-size,Vases,Unbeatablesale,35.48,0,0,True,35.48
Hot Pink,Travel Plane,Kids Vehicles,SHEIN,27.4,0,0,True,27.4
,Clear,Rulers,SHEIN,1.7,0,0,True,1.69
Blue-Green,40*60,Cushion Cover,Jepeak,36.4,0,0,True,26.2
Pink,15x275cm,Sashes,SHEIN,11.7,0,0,True,11.7
Multicolor,one-size,Pet Health Care Tools,Unbeatablesale,19.8,0,0,True,19.8
Multicolor,30*40,DIY Diamond Painting & Accessories,SHEIN,3.7,0,0,True,3.6
Multicolor,one-size,Pet Placemats,Unbeatablesale,29.39,0,0,True,29.39
Multicolor,one-size,Fittings DIY & Tools,SHEIN,2.0,0,0,True,1.9
Black,one-size,Men Baseball Cap,SHEIN,48.99,0,0,True,48.99
White,one-size,Standard Leashes,Unbeatablesale,21.72,0,0,True,21.72
White,one-size,Halloween Party Supplies,SHEIN,2.7,0,0,True,2.6
Multicolor,one-size,Hanging Hardware,Unbeatablesale,21.63,0,0,True,21.63
Multicolor,Twenty Random Straws,Disposable Kitchenware,SHEIN,4.2,0,0,True,4.1
,Silver Frame Gradually Turns Into Mercury,Women Fashion Glasses,SHEIN,4.3,0,0,True,3.66
,Yellow Gold,Women Jewelry Sets,SHEIN,2.5,0,0,True,0.75
Multicolor,36 Pieces Black Bat,Wall Decor & Stickers,SHEIN,2.0,0,0,True,2.0
,Gold Blue,Men Quartz Watches,SHEIN,11.0,0,0,True,10.3
02C 270pcs,02C 270pcs,Wire Junction Boxes,SHEIN,25.7,0,0,True,25.7
Green,one-size,Women Tote Bags,SHEIN,9.3,0,0,True,8.7
Blue Highlight,22 inch,Synthetic Extensions,SHEIN,4.4,0,0,True,3.8
Multicolor,Battle Villain,Kids Interactive Games,SHEIN,2.2,0,0,True,2.2
Multicolor,20PCS,Other Party Favors,SHEIN,1.8,0,0,True,1.67
,Brown,Floor-Standing Fountains,SHEIN,187.3,0,0,True,135.5
Multicolor,20pcs,Festival Decor,SHEIN,4.1,0,0,True,4.0
Red,one-size,Paper Envelopes,Unbeatablesale,39.85,0,0,True,39.85
Transparent,23x23x1cm,Embossing Tools,SHEIN,13.9,0,0,True,13.4
Multicolor,20 OZ,Insulated Water Bottles for Outdoor,SHEIN,16.3,0,0,True,10.2
Baby Blue,one-size,Kids Interactive Games,SHEIN,5.2,0,0,True,5.2
Multicolor,one-size,Utility Shelves,Unbeatablesale,65.92,0,0,True,65.92
Multicolor,one-size,Bells,SHEIN,1.6,0,0,True,1.5
Mint Green,one-size,"Kids Diaries, Journals, & Notebooks",SHEIN,7.4,0,0,True,5.92
,one-size,Perfume,Gucci,162.0,0,0,True,130.6
Multicolor,1PC (knitted Sunflower) Comes With a Small Pot,Artificial Plants,SHEIN,3.2,0,0,True,2.02
Red,one-size,Skateboard Grip Tape,Unbeatablesale,107.13,0,0,True,107.13
Multicolor,one-size,Hot & Cold Therapies,Unbeatablesale,25.37,0,0,True,25.37
Multicolor,one-size,Banners & Pennants,SHEIN,1.8,0,0,True,1.37
Red,one-size,"Kids Diaries, Journals, & Notebooks",SHEIN,9.0,0,0,True,9.0
Multicolor,one-size,Fondue Forks And Utensils,Unbeatablesale,39.11,0,0,True,39.11
Multicolor,one-size,Food Storage & Transport Tools,Unbeatablesale,20.67,0,0,True,20.67
Khaki,1PC(50m/164ft),Shredded Tissue Paper,SHEIN,2.0,0,0,True,1.52
Red,iPhone 12 Pro Max,Stand Phone Case,SHEIN,12.7,0,0,True,8.6
White,one-size,Decorative Crafts,SHEIN,16.3,0,0,True,15.7
Multicolor,Transparent Three-grid Style,Makeup Organizers,SHEIN,5.2,0,0,True,2.6
Pink,one-size,Car Key Case,SHEIN,2.3,0,0,True,2.07
Multicolor,30pcs,Festival Decor,SHEIN,15.0,0,0,True,14.5
Black,one-size,Headbands,DAZY,1.8,0,0,True,1.7
